TimeGenerated,UserPrincipalName,IPAddress,Country,Result,SignInType,DeviceOS
2026-06-20 02:00:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:02:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:04:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:06:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:08:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:10:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:12:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:14:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:16:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:18:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:20:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:22:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:24:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:26:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-20 02:35:00,m.baig,185.44.18.91,RU,Success,Interactive,Windows
