TimeGenerated,UserPrincipalName,IPAddress,Country,Result,SignInType,DeviceOS
2026-06-01 00:06:00,s.patel,203.0.113.77,US,Success,NonInteractive,Windows
2026-06-01 01:16:00,m.baig,198.51.100.22,IN,Success,Interactive,Windows
2026-06-01 01:27:00,l.chen,10.10.1.22,GB,Success,Interactive,iOS
2026-06-01 02:22:00,l.chen,185.44.18.91,RU,Success,NonInteractive,Android
2026-06-01 02:23:00,a.khan,185.44.18.91,RU,Failure,Interactive,iOS
2026-06-01 02:51:00,m.baig,203.0.113.77,US,Success,Interactive,Android
2026-06-01 05:20:00,r.ali,198.51.100.22,IN,Success,Interactive,Android
2026-06-01 05:32:00,r.ali,198.51.100.22,IN,Failure,Interactive,Windows
2026-06-01 05:37:00,s.patel,10.10.1.15,GB,Success,Interactive,iOS
2026-06-01 06:48:00,a.khan,203.0.113.77,US,Success,Interactive,Linux
2026-06-01 07:46:00,r.ali,185.44.18.91,RU,Failure,Interactive,Android
2026-06-01 07:46:00,s.patel,185.44.18.91,RU,Failure,Interactive,Linux
2026-06-01 07:52:00,r.ali,10.10.1.15,GB,Success,Interactive,Windows
2026-06-01 08:50:00,m.baig,91.201.72.14,NL,Success,Interactive,iOS
2026-06-01 08:52:00,m.baig,203.0.113.77,US,Success,Interactive,iOS
2026-06-01 09:24:00,l.chen,185.44.18.91,RU,Success,Interactive,Windows
2026-06-01 10:13:00,s.patel,10.10.1.22,GB,Success,Interactive,Android
2026-06-01 10:17:00,m.baig,185.44.18.91,RU,Failure,Interactive,Windows
2026-06-01 11:09:00,m.baig,198.51.100.22,IN,Failure,Interactive,iOS
2026-06-01 13:44:00,a.khan,10.10.1.15,GB,Success,NonInteractive,Android
2026-06-01 13:54:00,m.baig,198.51.100.22,IN,Success,Interactive,iOS
2026-06-01 15:31:00,j.smith,91.201.72.14,NL,Success,Interactive,iOS
2026-06-01 15:55:00,m.baig,91.201.72.14,NL,Failure,Interactive,iOS
2026-06-01 16:18:00,a.khan,198.51.100.22,IN,Success,Interactive,Android
2026-06-01 16:22:00,r.ali,198.51.100.22,IN,Success,Interactive,Windows
2026-06-01 16:28:00,l.chen,10.10.1.22,GB,Failure,NonInteractive,iOS
2026-06-01 17:15:00,s.patel,198.51.100.22,IN,Success,Interactive,Linux
